Time,Ulasan,Fake,Not Fake
08/08/2022 15:32,"Tampilan: cantik
Warna: sesuai pesan
Terima kasih barang sudah sampai
Semoga awet dan lain lain
Gdks s ahakans sgala svsjaka sgsjs s dhskabss ss
Oke ikut",yes,no
13/08/2022 10:20,"Tampilan: cantik banget tidak bohong
 Warna: bagus, sesuai
 keren si worth it banget thanks seller, pengiriman juga baik sampai dengan baik",yes,no
19/08/2022 14:37,meNyesal sangat tipis,yes,no
22/08/2022 13:56,Tampilan: oke Performa: oke Kualitas: oke Thanks ya,yes,no
25/08/2022 22:54,"tidak tahu, memang seperti itukah?",yes,no
12/09/2022 13:57,"Tampilan: barang bagus kualitas oke
 Pokoknya bagus, kualitas produk sangat baik",yes,no
14/09/2022 13:11,"Warna: keren soft
 Tampilan: amazingly great
 Cantik banget. tidak rugi pokoknya…",yes,no
22/09/2022 21:07,"Tampilan: sangat baik
Warna: biru navy
Sangat baik",yes,no
03/10/2022 15:51,"Tampilan: Bagus
 Warna: Sesuai
 Bahannya bagus tidak panas👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",yes,no
16/10/2022 11:14,"Tampilan: keren
 Warna: oke",yes,no
03/11/2022 10:37,"Tampilan: bagus
 Warna: sesuai deskripsi
 Barangnya bagus banget, tidak menyesal beli di sini",yes,no
06/11/2022 14:05,"Tampilan: Kualitas sesuai harga 💥
Warna: Mantap",yes,no
08/11/2022 19:18,Tampilan: baik Performa: sangat bagus Kualitas: sangat bagus Semoga Langganan 🤗,yes,no
15/11/2022 6:10,"Tampilan: oke
 Warna: sesuai
 Sesuai deskripsi",yes,no
15/11/2022 12:27,"Tampilan: bagus banget
 Warna: unik
 Suka banget",yes,no
15/11/2022 18:25,"Warna: krem
 Sangat bagus",yes,no
17/11/2022 8:57,"Tampilan: baik
 Warna: bagus",yes,no
26/11/2022 12:32,"Tampilan: barangnya oke
 Bagus",yes,no
10/12/2022 12:30,"Sumpah, tidak expect sepatunya bakal sebagus ini. Ini bagus banget, terima kasih kak ❤️",yes,no
16/12/2022 20:09,"Tampilan: bagus
 Warna: bagus",yes,no
19/12/2022 7:26,tasnya lucu banget gila keren recommended pokoknya tidak mengecewakan harus di checkout si asli😍😍💐,yes,no
19/12/2022 19:17,"Tampilan: bagus banget
 Warna: bagus
 Bagus banget recommended banget
 Sesuai gambar",yes,no
26/01/2023 14:06,"Tampilan: bagus
 Warna: keren
 tidak pernah menyesal beli di sini pokoknya mantap bro",yes,no
05/02/2023 11:43,Tampilan: bagus banget Bagus banget si tidak menyesal💯,yes,no
15/02/2023 10:39,Get what you pay aja 🙏🙏🙏,yes,no
26/02/2023 15:39,"Tampilan: sangat Bagus ini Bagus banget
 Kualitas: Bagus",yes,no
03/04/2023 21:55,"Sangat tidak sesuai dengan gambar, sangat beda sekali model nya, aku sangat tidak suka, Sangat tidak recommended",yes,no
12/04/2023 20:22,Biasa,yes,no
04/05/2023 16:48,Kenyamanan: biasa saja Kualitas: biasa saja Sepadan dengan Uang: mungkin Wajib di beli,yes,no
19/05/2023 16:19,Kecewa,yes,no
2023-05-26 17:41,Foto dan bintang yang berbicara. (tekuk2),yes,no
2023-06-05 9:55,memang kain yang seperti ini layak di perjual belikan?,yes,no
10/06/2023 15:08,Saran Tampilan: good jangan sampai skip  ini bagus banget😍,yes,no
21/06/2023 3:42,"Tampilan: keren banget bagus banget woy tidak sangka bakal sebagus itu, ingin nangis saking bagusnya 😭😭😭🫶🫶, love sekebon dah, besok"" beli di toko sini saja",yes,no
27/06/2023 8:17,"Warna: bagus
 Tampilan: cantik
 Jujur ini cantik banget",yes,no
29/06/2023 20:38,lumayan,yes,no
07/07/2023 14:04,Barangnya mahal,yes,no
12/07/2023 17:01,Wah bagus banget tas,yes,no
27/07/2023 8:01,"Warna: oke
 Tampilan: oke
 Oke",yes,no
29/07/2023 17:20,Mantap,yes,no
2023-09-02 22:10,Suka banget,yes,no
09/09/2023 17:49,Bagus banget🖤,yes,no
2023-10-07 19:00,"Tampilan: bagus
Warna: real picture
Suka Belajar disini 🤩 
Semoga awet ......",yes,no
14/10/2023 1:05,"Kualitas: bagus
Tampilan: bagus
Performa: bagus
Kualitas bagus",yes,no
2024-01-05 19:13,Lucu banget,yes,no
02/11/2021 17:18,"Harga: baik
 Kegunaan: hiasan
 Kualitas: baik
 Bagus banget",yes,no
